Galaxy 	 RA 	 Dec 	 n 	 [CII]Lum 	 [CII]Lerr 	 [NII]Lum 	 [NII]Lerr 	 fneut 	 fneut_err 	 LTIR 	 TIRerr 	 70160 	 70160_err 	 area 	 cosi 	 SFR 	 SFRerr 	 [OI]Lum 	 [OI]Lerr	 log10(G0) 	 err_log10(G0) 	 log10(n) 	 errlog10(n) 
NGC3351a	160.98983	11.703560000000001	0.352354993603	2.3991163527100002e+40	2.40253354867e+39	2.36157727422e+39	2.44476448397e+38	0.567796057782	0.0353461588009	7.85431312461e+42	2.32206535807e+41	1.8722971254099998	0.134663375978	2.57111837407	0.669130606359	0.309964321026	0.0120307818351	9.954009748648686e+39	1.005635911028565e+39	2.6145697999999995	0.656554596617	3.0	0.299027391619
NGC3521g	166.4643	-0.035910000000000004	113.50098579799999	2.45644078402e+40	2.46787691746e+39	2.1988248823e+39	2.52163505693e+38	0.66719078353	0.033854062032	4.93757814101e+42	1.6316624378e+41	0.863113006397	0.0612058113655	3.70505645497	0.438371146789	0.11190813668400001	0.00438689084161	5.959307605993306e+39	7.117991842904154e+38	1.07692927	0.679490577078	3.52136477	0.352245916634
NGC3521h	166.45928999999998	-0.033510000000000005	39.3547124524	3.66382133544e+40	3.67288888277e+39	3.63411347758e+39	3.87052210297e+38	0.658540054771	0.0328894867751	7.82073645893e+42	2.55739081688e+41	0.937203750476	0.0663398468889	3.70505645497	0.438371146789	0.17395947239999998	0.0067921097575400005	8.535466623167498e+39	9.468981071165639e+38	1.25415536	0.558453849551	3.30324702	0.311682799796
NGC3521i	166.45429	-0.0311	16.106432161199997	4.50938678221e+40	4.51915904682e+39	5.16562006025e+39	5.30093763959e+38	0.583823013829	0.034851414021800003	1.0263833569e+43	3.3324135939499996e+41	1.00186229791	0.070882901106	3.70505645497	0.438371146789	0.225007703096	0.00881291673297	8.007819595553503e+39	8.994638094495764e+38	0.98428754	0.613627606986	3.45317359	0.36211295455799997
NGC3521j	166.44928000000002	-0.0287	9.22541348814	5.53807678563e+40	5.54605102207e+39	5.85289139874e+39	5.96603505609e+38	0.5957734685580001	0.0344132054241	1.09803184526e+43	3.54357213646e+41	1.03564381807	0.0732668803476	3.70505645497	0.438371146789	0.245618252043	0.009628203337410001	1.0681526802706754e+40	1.1495813280646438e+39	1.13718105	0.55168574631	3.36823275	0.310596218677
NGC3521k	166.44427	-0.026289999999999997	10.3991446165	5.0459018271e+40	5.0540554486500005e+39	4.56702889447e+39	4.67739121788e+38	0.657630086841	0.0322538561919	8.89877373213e+42	2.85016755105e+41	1.05332691999	0.07453695556319999	3.70505645497	0.438371146789	0.21126493441	0.00824293698812	1.1781160944288854e+40	1.2635406844189773e+39	2.14825928	0.485985234572	3.0	0.28295655596
NGC3521l	166.43926000000002	-0.02389	15.065990387000001	3.04128652303e+40	3.05466658269e+39	2.48836564619e+39	2.70081606262e+38	0.706224427156	0.030680975621	5.32575206512e+42	1.7091737576299999e+41	1.02380952381	0.0725492337117	3.70505645497	0.438371146789	0.130035312307	0.00508378226862	8.309332182761501e+39	9.332331204169137e+38	1.12147567	0.55345022293	3.5020138999999997	0.315660563456
NGC3521n	166.45689	-0.03852	12.852602471099999	4.57146290311e+40	4.5772893843900004e+39	4.29478076426e+39	4.3840400423200005e+38	0.6515693064779999	0.032462038446	1.0270807987500001e+43	3.34260071897e+41	0.997152527803	0.0705496088063	3.70505645497	0.438371146789	0.22110888626800002	0.00867245340678	8.637448821781966e+39	9.305289256970836e+38	1.13405566	0.513418424789	3.36996908	0.300165768199
NGC3521o	166.45188000000002	-0.03611	16.6721736658	4.4171594026e+40	4.42343932808e+39	5.591284889249999e+39	5.81969302145e+38	0.541514103738	0.035860418917	1.11368110865e+43	3.6106791832999996e+41	1.0353437664799998	0.07324427351039998	3.70505645497	0.438371146789	0.238560656748	0.00937164062899	7.715175025616335e+39	8.356912997316984e+38	2.25	0.5293348404129999	2.6198281000000003	0.31753179240699997
NGC3521q	166.44187	-0.0313	32.884565570999996	3.47847977448e+40	3.48393174483e+39	4.03805166427e+39	4.17967204302e+38	0.59815458169	0.034620252328800005	6.70363332098e+42	2.16546346032e+41	1.03249612143	0.0731045063678	3.70505645497	0.438371146789	0.152289002708	0.00593751527341	8.052159681907622e+39	8.606110369710766e+38	1.02575643	0.711035014562	3.54410825	0.357077971755
NGC3521r	166.43686	-0.0289	77.267019816	1.5754032681599999e+40	1.58585261765e+39	2.2888352576e+39	2.74511218565e+38	0.480318897125	0.039084492073499996	3.4592343321400005e+42	1.12423957354e+41	0.988125951446	0.07023060574510001	3.70505645497	0.438371146789	0.08130755038589998	0.00322491441178	3.8717763404414845e+39	4.7359410440133725e+38	2.3043071	0.36591819930799996	3.0	0.182909813831
NGC3521u	166.44948	-0.04112	19.319302787999998	4.2659597081300003e+40	4.27920003053e+39	6.14110196005e+39	6.27482466463e+38	0.49165670558700003	0.0357866917861	9.738541673030001e+42	3.15671550655e+41	1.02632333544	0.0726170976614	3.70505645497	0.438371146789	0.210648235775	0.00830000738077	8.6507508476882e+39	9.851455200605202e+38	2.34437298	0.399681863091	2.75	0.212867650018
NGC3521v	166.44447	-0.03872	45.2895405963	3.07498498866e+40	3.0884620781400006e+39	4.66457708445e+39	4.9960810076e+38	0.478202497752	0.0366383093413	6.761206864460001e+42	2.2045803590899997e+41	0.986466165414	0.0698464816423	3.70505645497	0.438371146789	0.146530479085	0.005753903501970001	6.823939289898585e+39	7.751605230323896e+38	2.5	0.352111249873	2.85888506	0.178180263055
